candidate_id,stage1_score
cand_005473,107.00
cand_038225,100.00
cand_045344,100.00
cand_095336,99.00
cand_027816,97.00
cand_007529,96.00
cand_093511,96.00
cand_017185,95.00
cand_019025,95.00
cand_034388,95.00
cand_034892,95.00
cand_047388,95.00
cand_086775,95.00
cand_002038,94.00
cand_008945,94.00
cand_005706,93.00
cand_009406,93.00
cand_009427,93.00
cand_032901,93.00
cand_041373,93.00
cand_052784,93.00
cand_059465,93.00
cand_066213,93.00
cand_072720,93.00
cand_089459,93.00
cand_094129,93.00
cand_018136,92.00
cand_018661,92.00
cand_021229,92.00
cand_021665,92.00
cand_033641,92.00
cand_048822,92.00
cand_049185,92.00
cand_054483,92.00
cand_066849,92.00
cand_018335,91.00
cand_021428,91.00
cand_054465,91.00
cand_058562,91.00
cand_063286,91.00
cand_078931,91.00
cand_083484,91.00
cand_084389,91.00
cand_088355,91.00
cand_091634,91.00
cand_092912,91.00
cand_099887,91.00
cand_001169,90.00
cand_001529,90.00
cand_005401,90.00
cand_006695,90.00
cand_009840,90.00
cand_013971,90.00
cand_021315,90.00
cand_035585,90.00
cand_052609,90.00
cand_060381,90.00
cand_061985,90.00
cand_064399,90.00
cand_072709,90.00
cand_075216,90.00
cand_087683,90.00
cand_095245,90.00
cand_000971,89.00
cand_001099,89.00
cand_006440,89.00
cand_010736,89.00
cand_013434,89.00
cand_018699,89.00
cand_027109,89.00
cand_028661,89.00
cand_043436,89.00
cand_044778,89.00
cand_047632,89.00
cand_055176,89.00
cand_071016,89.00
cand_078311,89.00
cand_085488,89.00
cand_095025,89.00
cand_096647,89.00
cand_003982,88.00
cand_005663,88.00
cand_007022,88.00
cand_016797,88.00
cand_020385,88.00
cand_022632,88.00
cand_024104,88.00
cand_028369,88.00
cand_030445,88.00
cand_035318,88.00
cand_038187,88.00
cand_042911,88.00
cand_043468,88.00
cand_046507,88.00
cand_047109,88.00
cand_051478,88.00
cand_054820,88.00
cand_056328,88.00
cand_057469,88.00
cand_060067,88.00
cand_065152,88.00
cand_066774,88.00
cand_071220,88.00
cand_072122,88.00
cand_088631,88.00
cand_089880,88.00
cand_091674,88.00
