candidate_id,rank,score,reasoning,experience_score,skills_score,jd_alignment_score,semantic_alignment_score,behavioral_score,location_score,anomaly_penalty
cand_056603,1,0.2575,Demonstrates moderate experience (0.60). Calibrated score: 0.26.,0.6000,0.3500,0.1330,0.0000,0.0000,0.0000,0.0000
cand_069197,2,0.2535,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3500,0.1070,0.0000,0.0000,0.0000,0.0000
cand_042616,3,0.2505,Demonstrates moderate experience (0.58). Calibrated score: 0.25.,0.5793,0.3500,0.1210,0.0000,0.0000,0.0000,0.0000
cand_041295,4,0.2491,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1330,0.0000,0.0000,0.0000,0.0000
cand_015781,5,0.2473,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1210,0.0000,0.0000,0.0000,0.0000
cand_048844,6,0.2473,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1210,0.0000,0.0000,0.0000,0.0000
cand_062077,7,0.2473,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1210,0.0000,0.0000,0.0000,0.0000
cand_063370,8,0.2473,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1210,0.0000,0.0000,0.0000,0.0000
cand_007224,9,0.2470,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1190,0.0000,0.0000,0.0000,0.0000
cand_048576,10,0.2470,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1190,0.0000,0.0000,0.0000,0.0000
cand_092875,11,0.2467,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1170,0.0000,0.0000,0.0000,0.0000
cand_019762,12,0.2455,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1090,0.0000,0.0000,0.0000,0.0000
cand_044733,13,0.2455,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1090,0.0000,0.0000,0.0000,0.0000
cand_090792,14,0.2455,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1090,0.0000,0.0000,0.0000,0.0000
cand_088355,15,0.2452,Demonstrates moderate experience (0.60). Calibrated score: 0.25.,0.6000,0.3167,0.1070,0.0000,0.0000,0.0000,0.0000
cand_098547,16,0.2439,Demonstrates moderate experience (0.58). Calibrated score: 0.24.,0.5793,0.3167,0.1330,0.0000,0.0000,0.0000,0.0000
cand_055869,17,0.2418,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.3000,0.1120,0.0000,0.0000,0.0000,0.0000
cand_084633,18,0.2415,Demonstrates moderate experience (0.58). Calibrated score: 0.24.,0.5793,0.3167,0.1170,0.0000,0.0000,0.0000,0.0000
cand_079699,19,0.2408,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.3000,0.1050,0.0000,0.0000,0.0000,0.0000
cand_013214,20,0.2399,Demonstrates moderate experience (0.50). Calibrated score: 0.24.,0.5000,0.3500,0.1830,0.0000,0.0000,0.0000,0.0000
cand_007111,21,0.2396,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1250,0.0000,0.0000,0.0000,0.0000
cand_020272,22,0.2396,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1250,0.0000,0.0000,0.0000,0.0000
cand_041227,23,0.2384,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1170,0.0000,0.0000,0.0000,0.0000
cand_010608,24,0.2378,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1130,0.0000,0.0000,0.0000,0.0000
cand_049173,25,0.2373,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1100,0.0000,0.0000,0.0000,0.0000
cand_050668,26,0.2372,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1090,0.0000,0.0000,0.0000,0.0000
cand_004540,27,0.2369,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1070,0.0000,0.0000,0.0000,0.0000
cand_001314,28,0.2366,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1050,0.0000,0.0000,0.0000,0.0000
cand_066635,29,0.2366,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1050,0.0000,0.0000,0.0000,0.0000
cand_062186,30,0.2363,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2667,0.1310,0.0000,0.0000,0.0000,0.0000
cand_005582,31,0.2360,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2667,0.1290,0.0000,0.0000,0.0000,0.0000
cand_054393,32,0.2358,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.1000,0.0000,0.0000,0.0000,0.0000
cand_092165,33,0.2357,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2667,0.1270,0.0000,0.0000,0.0000,0.0000
cand_096193,34,0.2353,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2667,0.1240,0.0000,0.0000,0.0000,0.0000
cand_017282,35,0.2351,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.0950,0.0000,0.0000,0.0000,0.0000
cand_045115,36,0.2351,Demonstrates moderate experience (0.60). Calibrated score: 0.24.,0.6000,0.2833,0.0950,0.0000,0.0000,0.0000,0.0000
cand_035106,37,0.2348,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1210,0.0000,0.0000,0.0000,0.0000
cand_090400,38,0.2348,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1210,0.0000,0.0000,0.0000,0.0000
cand_055977,39,0.2347,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1200,0.0000,0.0000,0.0000,0.0000
cand_062423,40,0.2345,Demonstrates moderate experience (0.58). Calibrated score: 0.23.,0.5793,0.3000,0.0980,0.0000,0.0000,0.0000,0.0000
cand_082251,41,0.2342,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1170,0.0000,0.0000,0.0000,0.0000
cand_003418,42,0.2339,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1150,0.0000,0.0000,0.0000,0.0000
cand_007651,43,0.2335,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1120,0.0000,0.0000,0.0000,0.0000
cand_097615,44,0.2335,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1120,0.0000,0.0000,0.0000,0.0000
cand_031922,45,0.2329,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1080,0.0000,0.0000,0.0000,0.0000
cand_073011,46,0.2329,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1080,0.0000,0.0000,0.0000,0.0000
cand_076789,47,0.2329,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1080,0.0000,0.0000,0.0000,0.0000
cand_022179,48,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_039164,49,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_056908,50,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
cand_064019,51,0.2327,Demonstrates moderate experience (0.60). Calibrated score: 0.23.,0.6000,0.2667,0.1070,0.0000,0.0000,0.0000,0.0000
